Date,Name,Year,Letterboxd URI
2021-05-09,Whiplash,2014,https://boxd.it/7bQA
2021-05-09,Reservoir Dogs,1992,https://boxd.it/2agc
2021-05-09,Nomadland,2020,https://boxd.it/lnRy
2021-05-09,1917,2019,https://boxd.it/jj4y
2021-05-09,Dunkirk,2017,https://boxd.it/d0Y6
2021-05-09,Léon: The Professional,1994,https://boxd.it/2b8S
2021-05-09,Submarine,2010,https://boxd.it/H4a
2021-05-09,The Silence of the Lambs,1991,https://boxd.it/2aHW
2021-05-09,Juno,2007,https://boxd.it/210a
2021-05-09,Perfect Blue,1997,https://boxd.it/1W7A
2021-05-09,Mononoke,2007,https://boxd.it/meNa
2021-05-09,Angel's Egg,1985,https://boxd.it/1LeA
2021-05-09,Carrie,1976,https://boxd.it/20ZQ
2021-05-19,Midsommar,2019,https://boxd.it/jhxe
2021-05-19,Hereditary,2018,https://boxd.it/hNVe
2021-05-19,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK
2021-05-19,Samurai Champloo,2004,https://boxd.it/o8go
2021-05-23,Blade Runner,1982,https://boxd.it/2bcA
2021-05-23,Snowpiercer,2013,https://boxd.it/3Icg
2021-05-23,Isle of Dogs,2018,https://boxd.it/dZrW
2021-05-23,10 Things I Hate About You,1999,https://boxd.it/23AO
2021-05-23,Forrest Gump,1994,https://boxd.it/728
2021-05-23,Handsome Devil,2016,https://boxd.it/ewKs
2021-05-23,Clueless,1995,https://boxd.it/1Ygk
2021-05-23,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw
2021-05-23,(500) Days of Summer,2009,https://boxd.it/1EmM
2021-05-23,School of Rock,2003,https://boxd.it/28xK
2021-05-23,Werckmeister Harmonies,2000,https://boxd.it/1zzw
2021-05-23,Satantango,1994,https://boxd.it/1j9M
2021-05-23,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/1GRM
2021-05-23,The Shining,1980,https://boxd.it/29Nu
2021-05-23,Come and See,1985,https://boxd.it/1w9q
2021-05-23,Schindler's List,1993,https://boxd.it/2aq2
2021-05-23,The Hunt,2012,https://boxd.it/3wEC
2021-05-23,Inception,2010,https://boxd.it/1skk
2021-05-23,Good Will Hunting,1997,https://boxd.it/2ahY
2021-05-23,Heat,1995,https://boxd.it/2bg8
2021-05-23,Once Upon a Time in Anatolia,2011,https://boxd.it/2yHG
2021-05-23,Buffalo '66,1998,https://boxd.it/1YC6
2021-05-23,The Virgin Suicides,1999,https://boxd.it/28JG
2021-05-23,Kiki's Delivery Service,1989,https://boxd.it/1JAY
2021-05-23,Soul,2020,https://boxd.it/ioLA
2021-05-23,Another Round,2020,https://boxd.it/lkba
2021-05-23,Vinyl,1965,https://boxd.it/32DO
2021-05-23,Suspiria,1977,https://boxd.it/1SNW
2021-05-23,Cure,1997,https://boxd.it/1blA
2021-05-23,Monster,2004,https://boxd.it/py6Q
2021-05-23,Watchmen,2019,https://boxd.it/ol5e
2021-05-23,Citizen Kane,1941,https://boxd.it/71O
2021-05-23,Ocean's Eleven,2001,https://boxd.it/2aZm
2021-06-09,The Living End,1992,https://boxd.it/1fRA
2021-06-09,Love Is Colder Than Death,1969,https://boxd.it/1RTY
2021-06-16,Fargo,1996,https://boxd.it/2aHM
2021-06-16,Xiu Xiu: The Sent-Down Girl,1998,https://boxd.it/1fX4
2021-06-16,Farewell My Concubine,1993,https://boxd.it/1UTM
2021-06-16,Detachment,2011,https://boxd.it/2BiY
2021-06-16,The Pianist,2002,https://boxd.it/2aqc
2021-06-16,Black Swan,2010,https://boxd.it/Sw0
2021-06-16,Punch-Drunk Love,2002,https://boxd.it/20E4
2021-06-16,Beats Rhymes & Life: The Travels of A Tribe Called Quest,2011,https://boxd.it/2lDG
2021-06-27,Uzumaki,,https://boxd.it/nimO
2021-06-27,Twin Peaks: Fire Walk with Me,1992,https://boxd.it/27Qw
